rooms,area_sqm,living_area_sqm,kitchen_area_sqm,floor,floors_total,metro_time_min,build_year,prepay_months,rooms_was_missing,living_area_sqm_missing,kitchen_area_sqm_missing,build_year_missing,prepay_months_missing,is_agent,district_grouped_te,metro_grouped_te,repair_type_cosmetic,repair_type_design,repair_type_euro,repair_type_no,repair_type_unknown,house_material_unknown,house_material_Блочный,house_material_Кирпичный,house_material_Монолитно кирпичный,house_material_Монолитный,house_material_Панельный,log_price_rub
0.0,26.4,20.0,2.3,22,25,8.0,2023.0,1.0,1,0,0,0,0,0,11.020486538906104,10.984891171416072,False,False,True,False,False,True,False,False,False,False,False,10.66897865021924
2.0,60.5,40.0,15.3,24,28,8.0,2022.0,1.0,0,0,0,0,0,1,11.917776620328693,11.795080761181175,False,True,False,False,False,False,False,False,False,True,False,12.100717685412471
1.0,38.4,14.1,11.0,9,14,16.0,2001.0,1.0,0,0,0,1,0,0,11.010945142998729,11.210842319129679,True,False,False,False,False,True,False,False,False,False,False,10.915106645867503
2.0,41.0,27.0,6.0,1,5,9.0,1965.0,1.0,0,0,0,0,0,0,11.280369635524206,11.416797393646895,True,False,False,False,False,False,False,True,False,False,False,10.859018228147889
2.0,45.0,18.1,6.0,5,9,3.0,1964.0,1.0,0,0,0,0,0,1,11.437853178390943,11.406692034241212,False,False,True,False,False,True,False,False,False,False,False,11.141876276228
2.0,60.0,31.0,10.0,20,33,6.0,2023.0,1.0,0,1,1,0,0,0,11.198511451391504,11.208813520503433,True,False,False,False,False,True,False,False,False,False,False,11.407576060361786
0.0,28.0,25.0,5.0,19,20,7.0,2023.0,1.0,1,0,1,0,0,1,11.49438253057822,11.370512840717634,False,True,False,False,False,True,False,False,False,False,False,11.225256725762891
3.0,76.0,46.0,10.0,5,17,6.0,1988.0,1.0,0,0,0,0,0,1,11.70126226841355,11.5217913811505,False,False,True,False,False,False,False,False,False,False,True,11.849404844423074
1.0,45.0,20.0,15.0,12,22,7.0,2016.0,1.0,0,0,0,0,0,0,11.10956390659661,11.074538131765559,False,True,False,False,False,False,False,False,False,True,False,11.156264806643742
2.0,57.7,35.0,10.0,6,17,9.0,1983.0,1.0,0,0,0,0,0,1,11.139450103571626,11.162643424343365,False,False,True,False,False,False,False,False,False,True,False,11.225256725762891
0.0,22.0,8.0,5.0,3,18,8.0,2024.0,1.0,1,0,0,0,0,1,11.03994227161258,11.114706633825005,False,True,False,False,False,True,False,False,False,False,False,11.082157933374816
1.0,31.0,19.0,9.3,10,17,8.0,2018.0,1.0,0,1,1,0,0,1,11.437853178390943,11.35988596916399,False,True,False,False,False,False,False,False,False,True,False,11.19135563385109
3.0,65.0,42.5,10.0,6,14,7.0,1972.0,1.0,0,0,0,0,0,1,11.016637397696742,11.053621398047847,False,True,False,False,False,False,True,False,False,False,False,11.289794413577894
2.0,46.0,18.0,15.0,6,12,11.0,2022.0,1.0,0,0,0,0,0,1,11.64171637165403,11.599146871627257,False,False,True,False,False,False,False,False,False,True,False,11.60824473564232
1.0,32.0,20.0,7.0,7,9,3.0,1962.0,1.0,0,0,0,0,0,1,11.917776620328693,11.795080761181175,False,False,True,False,False,False,True,False,False,False,False,11.225256725762891
1.0,40.0,19.0,9.3,19,25,6.0,2024.0,2.0,0,1,1,0,0,0,11.562072173298628,11.41378043252688,False,False,True,False,False,True,False,False,False,False,False,11.19822841866684
3.0,171.1,48.0,25.0,2,7,9.0,1998.0,1.0,0,1,0,0,0,1,12.20450686869118,12.114753833953676,False,False,True,False,False,False,False,True,False,False,False,13.122365377402328
1.0,38.0,10.0,10.0,13,16,14.0,1980.0,1.0,0,0,0,0,0,0,11.139450103571626,11.162643424343365,True,False,False,False,False,False,False,False,False,False,True,10.819798284210286
2.0,57.9,32.1,11.0,7,21,3.0,2001.0,1.0,0,0,0,1,0,0,11.491568868507333,11.335969948849518,False,False,True,False,False,True,False,False,False,False,False,11.51293546492023
4.0,182.0,85.0,25.0,5,5,11.0,1913.0,1.0,0,1,0,0,0,1,12.203890590270259,12.102124645392031,False,False,True,False,False,False,False,True,False,False,False,13.25339339419516
0.0,18.0,16.0,5.0,3,7,5.0,1911.0,1.0,1,1,1,0,0,1,12.203890590270259,11.914256143427812,False,True,False,False,False,False,False,True,False,False,False,11.695255355062796
