,perm_importance_mean
area_sqm,0.43646605350257744
district_grouped_te,0.1729664724757344
metro_grouped_te,0.07245924020208519
build_year,0.06005805935025628
repair_type_design,0.033960582979403964
rooms,0.018936831728077606
floors_total,0.016779560781819813
repair_type_no,0.007742464278225813
build_year_missing,0.006814812602348985
kitchen_area_sqm,0.004511364467238588
living_area_sqm,0.0037035985906792024
repair_type_cosmetic,0.0033637060285995
is_agent,0.0031259384032977567
metro_time_min,0.0031113246594505093
floor,0.0030085672140517383
repair_type_euro,0.002706373873013901
house_material_Панельный,0.0009649533623006911
living_area_sqm_missing,0.00095852964719082
repair_type_unknown,0.0006342759102329398
house_material_unknown,0.0004737154571917479
house_material_Кирпичный,0.0003873249955445246
prepay_months,0.00014970419089778143
prepay_months_missing,0.00013446861450538972
house_material_Монолитный,0.00011125662982384155
kitchen_area_sqm_missing,9.722553482732765e-05
house_material_Блочный,7.38142994296198e-05
house_material_Монолитно кирпичный,3.14626715927524e-05
rooms_was_missing,0.0
